Agency,Sub_County,Neighborhood,Price,link,sq_mtrs,Bedrooms,Bathrooms
Realty Plus,Dagoretti North,Kilimani,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3406344,3,3,3
Prudential Green Ville,Dagoretti North,"kilimani, Kilimani, Kilimani","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3450652,3,3,2
Royani Properties Limited,Kiambu Road,"Fourways Junction Estate, Kiambu Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-3461753,120,3,2
Royani Properties Limited,Kiambu Road,"Mocah Courtyard, Kiambu Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-3462160,3,3,3
Royani Properties Limited,Kiambu Road,"FOURWAYS, Kiambu Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-3462936,3,3,2
Royani Properties Limited,Kiambu Road,"Fourways junction, Kiambu Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-3466963,3,3,2
Prudential Green Ville,Dagoretti North,"kilimani, Kilimani, Kilimani","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3450652,3,3,2
Prudential Green Ville,Dagoretti North,"kilimani, kilimani, Kilimani","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3460926,3,3,2
Prudential Green Ville,Dagoretti North,"kileleshwa, kileleshwa, Kileleshwa","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3468014,3,3,2
Geoscape Global Limited,Dagoretti North,Kilimani,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467308,3,3,2
Sunland Real Estates Limited,Dagoretti North,"Wood Avenue, Wood Avenue, Kilimani","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3466285,3,3,2
Wealthlink Realtors Ltd,Roysambu,Kahawa West,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-kahawa-west-3464027,3,3,2
Cloud Real Estate,Westlands,Waiyaki Way,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-2-3399187,135,3,
Olympia Gold Real Estate,Dagoretti North,Lavington,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-lavington-3458266,2,2,2
Nickville Shelters,Dagoretti North,Valley Arcade,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-valley-arcade-3422776,2,2,
Pmc Estates Limited,Thika Road,"Usiu Road, Thika Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-thika-road-3450173,3,3,
Rescom Ventures Ltd,Dagoretti North,Kileleshwa,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3466234,85,2,2
Naftal Properties,Dagoretti North,Kilimani,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-3451105,2,2,
Medallion Systems,Dagoretti North,Kilimani,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-3467559,2,2,
Canaan Properties,Milimani,Milimani,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-3468712,2,2,3
Phillavilla,Westlands,Mountain View,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-mountain-view-1-3460816,3,3,2
Chawan Business Venture,Kiambu Road,Kiambu Road,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-kiambu-road-3465588,3,3,2
Ace Realtors Limited,Westlands,"21 05 07, 18 RA, Rhapta Road","KSh 70,000",/listings/2-bedroom-apartment-for-rent-rhapta-road-3468700,149,2,2
David Kiambi,Dagoretti North,"Muringa groove, Muringa road, Kilimani","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3466284,3,3,2
Tuvilani Ventures Enterprice,Mvita,"Kizingo, Kizingo, kizingo","KSh 70,000",/listings/furnished-4-bedroom-apartment-for-rent-kizingo-3463749,4,4,3
Azizi Realtors,Westlands,Westlands Area,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3465302,2,2,3
Real Management Services 2002Limited,Dagoretti North,"Riara Road, Kilimani","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3426386,3,3,
Real Management Services 2002Limited,Dagoretti North,"riara road, Kilimani","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3462358,3,3,2
Franic Villa Properties,Roysambu,"Near USIU, Safari park, Zimmermann","KSh 70,000",/listings/4-bedroom-apartment-for-rent-zimmermann-3468415,4,4,4
City Homes Kenya Real Estate,Westlands,"Acacia Drive, Runda","KSh 70,000",/listings/furnished-2-bedroom-apartment-for-rent-runda-3457705,2,2,
Homekenya24,Kiambaa,Ruaka,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-ruaka-3468335,3,3,2
Blueline Properties 1023,Westlands,"Sibiloi , Ojijo, Parklands","KSh 70,000",/listings/furnished-2-bedroom-apartment-for-rent-parklands-33725,6,2,2
City Homes Kenya Real Estate,Westlands,"Acacia Drive, Runda","KSh 70,000",/listings/furnished-2-bedroom-apartment-for-rent-runda-3457705,2,2,
Absolute Estate Agents,Dagoretti North,Lavington,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-lavington-3457542,3,3,
Sir Francis Marketingconsultants Ltd,Dagoretti North,"Valley Arcade, Lavington","KSh 70,000",/listings/3-bedroom-apartment-for-rent-lavington-3461696,125,3,2
Benford Homes,Nyali,"Nyali, Neen Road, Nyali Area","KSh 70,000",/listings/3-bedroom-apartment-for-rent-nyali-area-3467757,2160,3,4
Origin Homes,Dagoretti North,Kilimani,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-3457098,2,2,3
Royani Properties Limited,Dagoretti North,"Laikipia road, Kileleshwa","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3466615,2,2,2
Wealthlink Realtors Ltd,Westlands,Westlands Area,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3466560,2,2,2
Hilltrust Consult,Westlands,"Off Rapta Rd, Westlands Area","KSh 70,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3437984,3,3,
Kaisa Ventures Kenya Limited,Dagoretti North,Kileleshwa,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3466965,2,2,
Urban Hut,Dagoretti North,Kileleshwa,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3459360,2,2,2
Afrique Properties Limited,Dagoretti North,Kileleshwa,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3464989,3,3,2
Pc Properties Real Estate Agency,Dagoretti North,"Riara Rd, Lavington","KSh 70,000",/listings/3-bedroom-apartment-for-rent-lavington-3466205,3,3,3
Lighthouse Homes Limited,Westlands,"Rhapta Road, Westlands Area","KSh 70,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3468610,2,2,3
Pmm Properties,Westlands,"Rhapta Road, Rhapta Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3468567,3,3,2
Pc Properties Real Estate Agency,Dagoretti North,"Riara Rd, Lavington","KSh 70,000",/listings/3-bedroom-apartment-for-rent-lavington-3466205,3,3,3
Splendor Holdings,Dagoretti North,Lavington,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-lavington-3434424,15,3,
Splendor Holdings,Dagoretti North,Kileleshwa,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3438401,140,2,
Splendor Holdings,Dagoretti North,Kilimani,"KSh 70,000",/listings/1-bedroom-apartment-for-rent-kilimani-3441453,90,1,
Opus Properties,Ngong Road,"Mimosa, Ngong Road","KSh 70,000",/listings/3-bedroom-apartment-for-rent-3460771,3,3,2
Ace Realtors Limited,Westlands,"21 04 30, 43 RA, Waiyaki Way","KSh 70,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-3467934,177,3,3
Prudential Green Ville,Dagoretti North,"kilimani, Kilimani, Kilimani","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-1-3457658,2,2,2
Prudential Green Ville,Dagoretti North,"kilimani, kilimani, Kilimani","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3464360,3,3,2
Real Management Services 2002Limited,Westlands,"East Church Road, Parklands","KSh 70,000",/listings/3-bedroom-apartment-for-rent-parklands-3452129,3,3,2
Pam Golding Properties,Dagoretti North,Lavington,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-lavington-1-3458263,2,2,1
Crystal Valuers Ltd,Ngong Road,Ngong Road,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-ngong-road-3447468,113,3,2
Crowne Estates,Westlands,"Wambugu rd, Parklands","KSh 70,000",/listings/3-bedroom-apartment-for-rent-parklands-3461817,3,3,2
Yc Real Estate Limited,Dagoretti North,"Near Kenya High, Kileleshwa","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3467721,1000,2,2
Absolute Estate Agents,Dagoretti North,"Denis pritt,Kilimani, Kilimani","KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-40631,100,2,2
Absolute Estate Agents,Dagoretti North,Lavington,"KSh 70,000",/listings/1-bedroom-apartment-for-rent-lavington-3466156,1,1,1
Royani Properties Limited,Dagoretti North,"Kandara Road, Kileleshwa","KSh 70,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3466645,3,3,3
Yellow Market,Dagoretti North,"Near Valley Arcade Shopping Centre, Valley Arcade","KSh 70,000",/listings/3-bedroom-apartment-for-rent-valley-arcade-3444679,3,3,2
Fitsher Homes Ltd,Kiambu Road,Kiambu Road,"KSh 70,000",/listings/4-bedroom-apartment-for-rent-3466759,4,4,5
Fitsher Homes Ltd,Kiambu Road,Kiambu Road,"KSh 70,000",/listings/4-bedroom-apartment-for-rent-3466841,4,4,5
Cfs Homes,Westlands,Westlands Area,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3458165,2,2,
Naftal Properties,Langata,Madaraka,"KSh 70,000",/listings/4-bedroom-apartment-for-rent-madaraka-3467772,4,4,5
Splendor Holdings,Dagoretti North,Kilimani,"KSh 70,000",/listings/3-bedroom-apartment-for-rent-kilimani-3431377,140,3,
Splendor Holdings,Dagoretti North,Kilimani,"KSh 70,000",/listings/2-bedroom-apartment-for-rent-kilimani-3438455,120,2,
Royani Properties Limited,Kiambu Road,"Mocah Courtyard, Kiambu Road","KSh 72,000",/listings/3-bedroom-apartment-for-rent-2-3443500,3,3,3
Tysons Limited,Dagoretti North,Kileleshwa,"KSh 72,500",/listings/2-bedroom-apartment-for-rent-kileleshwa-3458047,2,2,2
Ogaye Enterprises,Kisauni,"Shanzu, Shanzu","KSh 73,000",/listings/3-bedroom-apartment-for-rent-shanzu-3401131,3,3,4
Coralinternational Ltd,Westlands,"Rhapta Road, Westlands Area","KSh 75,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3452383,2,2,2
Opus Properties,Thindigua,Thindigua,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-thindigua-3447542,3,3,3
Ace Realtors Limited,Westlands,"21 04 20, 21 RA, Westlands Area","KSh 75,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3466894,158,2,2
Regent Management Ltd,Dagoretti North,Kilimani,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3464574,3,3,2
Regent Management Ltd,Dagoretti North,Dennis Pritt,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-dennis-pritt-3467870,3,3,2
Pam Golding Properties,Dagoretti North,Kilimani,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3441408,3,3,3
Ace Realtors Limited,Westlands,"21 04 20, 21 RA, Westlands Area","KSh 75,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3466894,158,2,2
Prudential Green Ville,Dagoretti North,"kileleshwa, Kileleshwa, Kileleshwa","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-2-3456743,2,2,2
Prudential Green Ville,Dagoretti North,"lavington, Lavington, Lavington","KSh 75,000",/listings/2-bedroom-apartment-for-rent-lavington-1-3458929,2,2,2
Prudential Green Ville,Dagoretti North,"kilimani, kilimani, Kilimani","KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3463993,3,3,2
Blueline Properties 1023,Westlands,"9 Riverside Drive, Riverside","KSh 75,000",/listings/2-bedroom-apartment-for-rent-riverside-3386112,2,2,2
Origin Homes,Dagoretti North,Lavington,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3458918,3,3,3
Origin Homes,Dagoretti North,Kilimani,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3459619,3,3,5
Origin Homes,Dagoretti North,Lavington,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-lavington-3462881,2,2,3
Buy Rent Shelters,Westlands,"Loresho, Westlands Area","KSh 75,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3467185,3,3,3
Orion Valuers,Dagoretti North,Kilimani,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3403779,2,2,2
Wealthlink Realtors Ltd,Westlands,Westlands Area,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3460971,3,3,3
Wealthlink Realtors Ltd,Westlands,Westlands Area,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3466561,21780,2,2
Westside Real Estate,Dagoretti North,"1, Argwings Kodhek, Kilimani","KSh 75,000",/listings/1-bedroom-apartment-for-rent-kilimani-3461830,70,1,1
Naftal Properties,Dagoretti North,Lavington,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-lavington-3465971,2,2,3
Rayalink Properties,Dagoretti North,"kingara road, Lavington","KSh 75,000",/listings/4-bedroom-apartment-for-rent-lavington-3461562,4,4,3
Absolute Estate Agents,Dagoretti North,"Ring Road Kilimani, Kilimani","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3467082,2,2,3
Absolute Estate Agents,Dagoretti North,Riara Road,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-riara-road-3467540,3,3,2
Paradigm Homes,Dagoretti North,Riara Road,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-riara-road-3411915,3,3,4
Paradigm Homes,Dagoretti North,"Gitanga Road, Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3425339,3,3,
Royani Properties Limited,Kiambu Road,"Fourways Junction Estate, Kiambu Road","KSh 75,000",/listings/4-bedroom-apartment-for-rent-3414310,120,4,3
Yellow Market,Dagoretti North,"Near Junctiona Mall, Kilimani","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3415957,2,2,3
Pmc Estates Limited,Westlands,Waiyaki Way,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-3454404,3,3,
Knight Frank,Langata,"Miotoni West Road, Karen","KSh 75,000",/listings/furnished-1-bedroom-apartment-for-rent-karen-3433706,1,1,
Casapiu Holdings Limited,Westlands,Rhapta Road,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3468378,3,3,3
Cfs Homes,Dagoretti North,Kilimani,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3438402,3,3,
Pc Properties Real Estate Agency,Dagoretti North,"Ngong Rd, Kilimani","KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3466193,3,3,3
Landmark Realtors Ltd,Dagoretti North,Lavington,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3461925,3,3,2
Kenya Classic Homes,Dagoretti North,Lavington,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3449196,128,3,3
Kenya Classic Homes,Dagoretti North,Lavington,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3459375,111,3,3
Kenya Classic Homes,Dagoretti North,Kilimani,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3465737,120,2,2
Azizi Realtors,Westlands,Westlands Area,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3465296,2,2,2
Habitat Realtors International Ltd,Westlands,"Waiyaki Way- Waruku, Waruku, Waiyaki Way","KSh 75,000",/listings/3-bedroom-apartment-for-rent-waiyaki-way-3462676,125,3,3
Habitat Realtors International Ltd,Dagoretti North,"Parklane Place, Kandara Road, Kileleshwa","KSh 75,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3464231,115,3,2
Prudential Green Ville,Westlands,"riverside, Riverside, Riverside","KSh 75,000",/listings/3-bedroom-apartment-for-rent-riverside-1-3455770,3,3,2
Prudential Green Ville,Dagoretti North,"lavington, Lavington, Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-1-3456349,3,3,2
Prudential Green Ville,Dagoretti North,"kilimani, kilimani, Kilimani","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3460829,2,2,2
Prudential Green Ville,Westlands,"riverside, riverside, Riverside","KSh 75,000",/listings/3-bedroom-apartment-for-rent-riverside-3461576,3,3,2
Prudential Green Ville,Dagoretti North,"lavington, lavington, Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3464503,3,3,3
Prudential Green Ville,Dagoretti North,"kilimani, kilimani, Kilimani","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3465231,2,2,2
Prudential Green Ville,Dagoretti North,"kilimani, kilimani, Kilimani","KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3468507,3,3,2
Paradigm Homes,Dagoretti North,"Argwings Kodhek Road, Kilimani","KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3412063,3,3,
Blueline Properties 1023,Westlands,"Ojijo, Parklands","KSh 75,000",/listings/furnished-2-bedroom-apartment-for-rent-parklands-3417989,2,2,1
Blueline Properties 1023,Westlands,"9 Riverside Drive, Riverside","KSh 75,000",/listings/2-bedroom-apartment-for-rent-riverside-3417992,2,2,3
Royani Properties Limited,Dagoretti North,"Riara Downs Apartments, Riara Road","KSh 75,000",/listings/4-bedroom-apartment-for-rent-riara-road-3459399,4,4,3
Ever Forgarden,Dagoretti North,"Denis Pritt, Kilimani","KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3467115,3,3,
Paradigm Homes,Dagoretti North,"Argwings Kodhek Road, Kilimani","KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3412063,3,3,
Apogee Realty Homes,Dagoretti North,"Hatheru Road, Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3466941,3,3,2
Cfs Homes,Dagoretti North,Kilimani,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3438919,3,3,
Cfs Homes,Kajiado North,Kitengela,"KSh 75,000",/listings/furnished-2-bedroom-apartment-for-rent-kitengela-3466539,2,2,2
Cfs Homes,Dagoretti North,"Yaya Center, Kilimani","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3467269,2,2,2
Pc Properties Real Estate Agency,Dagoretti North,"Riara Rd, Lavington","KSh 75,000",/listings/2-bedroom-apartment-for-rent-lavington-3466217,2,2,3
Coralinternational Ltd,Westlands,"Mvuli Road, Westlands Area","KSh 75,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3439104,2,2,
Green Knight Properties,Dagoretti North,"Mandera road, Kileleshwa","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3449877,2,2,2
Green Knight Properties,Dagoretti North,Lavington,"KSh 75,000",/listings/furnished-2-bedroom-apartment-for-rent-lavington-3453201,2,2,2
Eastwood Consulting Ltd,Westlands,"Mogotio Road, Westlands Area","KSh 75,000",/listings/2-bedroom-apartment-for-rent-westlands-area-3421521,158,2,2
Prime Lands,Dagoretti North,Kilimani,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3467841,1250,2,2
Prime Lands,Dagoretti North,Kilimani,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3467841,1250,2,2
Prudential Green Ville,Dagoretti North,"lavington, Lavington, Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-2-3452109,3,3,3
Prudential Green Ville,Dagoretti North,"kilimani, Kilimani, Kilimani","KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3453375,3,3,2
Prudential Green Ville,Dagoretti North,"lavington, Lavington, Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-1-3457203,3,3,3
Prudential Green Ville,Dagoretti North,"kilimani, kilimani, Kilimani","KSh 75,000",/listings/4-bedroom-apartment-for-rent-kilimani-3467295,4,4,4
Capstone Properties,Westlands,Riverside,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-riverside-3457942,2,2,
Eden Height Realty,Dagoretti North,Kileleshwa,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3461766,3,3,3
Real Management Services 2002Limited,Dagoretti North,"1, Killimani, Kilimani","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-37,2,2,2
Pam Golding Properties,Dagoretti North,Kilimani,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3437571,2,2,1
Pam Golding Properties,Dagoretti North,Kilimani,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3447734,3,3,3
Azizi Realtors,Dagoretti North,Kilimani,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3448875,2,2,
Absolute Estate Agents,Dagoretti North,"Hatheru Rd, Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3418990,3,3,5
Absolute Estate Agents,Dagoretti North,Kileleshwa,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-kileleshwa-3463550,2,2,3
Absolute Estate Agents,Dagoretti North,Riara Road,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-riara-road-3467539,3,3,2
Jazari Homes,Dagoretti North,"Argwing kodhek road, Lavington, Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3464263,3,3,2
Paradigm Homes,Dagoretti North,"Riara Road, Kilimani","KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3425342,3,3,
Paradigm Homes,Dagoretti North,Kilimani,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-1-3454767,2,2,3
Royani Properties Limited,Kiambu Road,"Fourways Junction Estate, Kiambu Road","KSh 75,000",/listings/4-bedroom-apartment-for-rent-3463891,4,4,3
Lavingtonmanagement,Dagoretti North,"Kabaseriani, Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3464086,3,3,3
Buy Rent Shelters,Dagoretti North,"Chelezo House Kindaruma Rd, Kilimani","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3466666,2,2,2
Yellow Market,Dagoretti North,"Off Gitanga Road, Valley Arcade","KSh 75,000",/listings/3-bedroom-apartment-for-rent-valley-arcade-1-3411708,3,3,2
Shingles Kenya Limited,Dagoretti North,"Naivasha, Naivasha Road","KSh 75,000",/listings/3-bedroom-apartment-for-rent-naivasha-road-3462565,3,3,2
Splendour Real Estate,Dagoretti North,Lavington,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-lavington-3465167,2,2,
Cfs Homes,Dagoretti North,Kilimani,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-kilimani-3438501,3,3,
Cfs Homes,Westlands,Westlands Area,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3438963,3,3,4
Cfs Homes,Dagoretti North,Kileleshwa,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-1-3440395,3,3,
Naftal Properties,Westlands,Riverside,"KSh 75,000",/listings/1-bedroom-apartment-for-rent-riverside-1-3454201,1,1,
Naftal Properties,Dagoretti North,Lavington,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-lavington-3465972,2,2,2
Naftal Properties,Westlands,Rhapta Road,"KSh 75,000",/listings/4-bedroom-apartment-for-rent-rhapta-road-3467043,4,4,
Afrique Properties Limited,Dagoretti North,"Kingara Road, Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-1-3458248,3,3,3
Afrique Properties Limited,Dagoretti North,"Gitanga Road, Lavington","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3462417,3,3,2
Splendor Holdings,Dagoretti North,Lavington,"KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3452367,3,3,
Greenday Properties,Westlands,Parklands,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-parklands-1-3459235,2,2,2
Crystal Valuers Ltd,Dagoretti North,"Arwings Kodheck, Kilimani","KSh 75,000",/listings/2-bedroom-apartment-for-rent-kilimani-3463126,125,2,2
Pmm Properties,Westlands,"Off Rhapta Road, Rhapta Road","KSh 75,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3463167,3,3,2
J M Mccarthy Properties Ltd,Dagoretti North,Lavington,"KSh 75,000",/listings/2-bedroom-apartment-for-rent-lavington-3441983,2,2,2
Landmark Top Solutions,Dagoretti North,Lavington,"KSh 76,000",/listings/3-bedroom-apartment-for-rent-lavington-3464896,3,3,4
Ace Realtors Limited,Westlands,"21 05 05, 41 RA, Westlands Area","KSh 77,000",/listings/3-bedroom-apartment-for-rent-westlands-area-3468373,371,3,3
Franic Villa Properties,Dagoretti North,"Ole Dume, Ole Dume, Kilimani","KSh 77,000",/listings/3-bedroom-apartment-for-rent-kilimani-3468418,3,3,3
Absolute Estate Agents,Dagoretti North,"Lenana rd,Kilimani, Kilimani","KSh 78,000",/listings/2-bedroom-apartment-for-rent-kilimani-40609,123,2,2
Absolute Estate Agents,Dagoretti North,Kilimani,"KSh 78,000",/listings/2-bedroom-apartment-for-rent-kilimani-3457279,2,2,
Pam Golding Properties,Dagoretti North,Kilimani,"KSh 78,000",/listings/3-bedroom-apartment-for-rent-kilimani-3435629,3,3,2
Pam Golding Properties,Dagoretti North,Kileleshwa,"KSh 79,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-3456195,3,3,2
Crystal Valuers Ltd,Dagoretti North,Riara Road,"KSh 80,000",/listings/3-bedroom-apartment-for-rent-riara-road-3424792,150,3,3
Green Knight Properties,Dagoretti North,"Mbaazi, Mbaazi, Lavington","KSh 80,000",/listings/2-bedroom-apartment-for-rent-lavington-3444810,2,2,2
Green Knight Properties,Dagoretti North,"Lenana, Kilimani","KSh 80,000",/listings/2-bedroom-apartment-for-rent-kilimani-3459825,2,2,3
Hassconsult,Westlands,Rhapta Road,"KSh 80,000",/listings/furnished-3-bedroom-apartment-for-rent-rhapta-road-3453904,3,3,
Stop Properties Real Estate,Westlands,Rhapta Road,"KSh 80,000",/listings/3-bedroom-apartment-for-rent-rhapta-road-3467078,3,3,3
Edlon Group Limited,Dagoretti North,"Riara Road, Lavington","KSh 80,000",/listings/3-bedroom-apartment-for-rent-lavington-3462292,3,3,4
Habitat Realtors International Ltd,Dagoretti North,"Parklane Place, Kandara Rod, Kileleshwa","KSh 80,000",/listings/4-bedroom-apartment-for-rent-kileleshwa-3463057,125,4,3
Realty Plus,Dagoretti North,Kilimani,"KSh 80,000",/listings/3-bedroom-apartment-for-rent-kilimani-3466429,3,3,2
Prudential Green Ville,Dagoretti North,"lavington, lavington, Lavington","KSh 80,000",/listings/3-bedroom-apartment-for-rent-lavington-3694,3,3,2
Prudential Green Ville,Dagoretti North,"kilimani, Kilimani, Kilimani","KSh 80,000",/listings/3-bedroom-apartment-for-rent-kilimani-1-3457656,3,3,3
Prudential Green Ville,Dagoretti North,"kilimani, Kilimani, Kilimani","KSh 80,000",/listings/4-bedroom-apartment-for-rent-kilimani-1-3459994,4,4,4
Prudential Green Ville,Dagoretti North,"kilimani, kilimani, Kilimani","KSh 80,000",/listings/2-bedroom-apartment-for-rent-kilimani-3461579,2,2,2
Prudential Green Ville,Dagoretti North,"lavigton, lavington, Lavington","KSh 80,000",/listings/3-bedroom-apartment-for-rent-lavington-3466232,3,3,2
